K2,K3,T,t1,t2,t3
1,1,-0.017453293,1,1,1
1,0.2,-0.017453293,1,1,5
1,0.1,-0.017453293,1,1,10
1,0.066666667,-0.017453293,1,1,15
1,0.05,-0.017453293,1,1,20
1,0.04,-0.017453293,1,1,25
1,0.033333333,-0.017453293,1,1,30
1,0.028571429,-0.017453293,1,1,35
1,0.025,-0.017453293,1,1,40
1,0.022222222,-0.017453293,1,1,45
0.2,1,-0.017453293,1,5,1
0.2,0.2,-0.017453293,1,5,5
0.2,0.1,-0.017453293,1,5,10
0.2,0.066666667,-0.017453293,1,5,15
0.2,0.05,-0.017453293,1,5,20
0.2,0.04,-0.017453293,1,5,25
0.2,0.033333333,-0.017453293,1,5,30
0.2,0.028571429,-0.017453293,1,5,35
0.2,0.025,-0.017453293,1,5,40
0.2,0.022222222,-0.017453293,1,5,45
0.1,1,-0.017453293,1,10,1
0.1,0.2,-0.017453293,1,10,5
0.1,0.1,-0.017453293,1,10,10
0.1,0.066666667,-0.017453293,1,10,15
0.1,0.05,-0.017453293,1,10,20
0.1,0.04,-0.017453293,1,10,25
0.1,0.033333333,-0.017453293,1,10,30
0.1,0.028571429,-0.017453293,1,10,35
0.1,0.025,-0.017453293,1,10,40
0.1,0.022222222,-0.017453293,1,10,45
0.066666667,1,-0.017453293,1,15,1
0.066666667,0.2,-0.017453293,1,15,5
0.066666667,0.1,-0.017453293,1,15,10
0.066666667,0.066666667,-0.017453293,1,15,15
0.066666667,0.05,-0.017453293,1,15,20
0.066666667,0.04,-0.017453293,1,15,25
0.066666667,0.033333333,-0.017453293,1,15,30
0.066666667,0.028571429,-0.017453293,1,15,35
0.066666667,0.025,-0.017453293,1,15,40
0.066666667,0.022222222,-0.017453293,1,15,45
0.05,1,-0.017453293,1,20,1
0.05,0.2,-0.017453293,1,20,5
0.05,0.1,-0.017453293,1,20,10
0.05,0.066666667,-0.017453293,1,20,15
0.05,0.05,-0.017453293,1,20,20
0.05,0.04,-0.017453293,1,20,25
0.05,0.033333333,-0.017453293,1,20,30
0.05,0.028571429,-0.017453293,1,20,35
0.05,0.025,-0.017453293,1,20,40
0.05,0.022222222,-0.017453293,1,20,45
0.04,1,-0.017453293,1,25,1
0.04,0.2,-0.017453293,1,25,5
0.04,0.1,-0.017453293,1,25,10
0.04,0.066666667,-0.017453293,1,25,15
0.04,0.05,-0.017453293,1,25,20
0.04,0.04,-0.017453293,1,25,25
0.04,0.033333333,-0.017453293,1,25,30
0.04,0.028571429,-0.017453293,1,25,35
0.04,0.025,-0.017453293,1,25,40
0.04,0.022222222,-0.017453293,1,25,45
0.033333333,1,-0.017453293,1,30,1
0.033333333,0.2,-0.017453293,1,30,5
0.033333333,0.1,-0.017453293,1,30,10
0.033333333,0.066666667,-0.017453293,1,30,15
0.033333333,0.05,-0.017453293,1,30,20
0.033333333,0.04,-0.017453293,1,30,25
0.033333333,0.033333333,-0.017453293,1,30,30
0.033333333,0.028571429,-0.017453293,1,30,35
0.033333333,0.025,-0.017453293,1,30,40
0.033333333,0.022222222,-0.017453293,1,30,45
0.028571429,1,-0.017453293,1,35,1
0.028571429,0.2,-0.017453293,1,35,5
0.028571429,0.1,-0.017453293,1,35,10
0.028571429,0.066666667,-0.017453293,1,35,15
0.028571429,0.05,-0.017453293,1,35,20
0.028571429,0.04,-0.017453293,1,35,25
0.028571429,0.033333333,-0.017453293,1,35,30
0.028571429,0.028571429,-0.017453293,1,35,35
0.028571429,0.025,-0.017453293,1,35,40
0.028571429,0.022222222,-0.017453293,1,35,45
0.025,1,-0.017453293,1,40,1
0.025,0.2,-0.017453293,1,40,5
0.025,0.1,-0.017453293,1,40,10
0.025,0.066666667,-0.017453293,1,40,15
0.025,0.05,-0.017453293,1,40,20
0.025,0.04,-0.017453293,1,40,25
0.025,0.033333333,-0.017453293,1,40,30
0.025,0.028571429,-0.017453293,1,40,35
0.025,0.025,-0.017453293,1,40,40
0.025,0.022222222,-0.017453293,1,40,45
0.022222222,1,-0.017453293,1,45,1
0.022222222,0.2,-0.017453293,1,45,5
0.022222222,0.1,-0.017453293,1,45,10
0.022222222,0.066666667,-0.017453293,1,45,15
0.022222222,0.05,-0.017453293,1,45,20
0.022222222,0.04,-0.017453293,1,45,25
0.022222222,0.033333333,-0.017453293,1,45,30
0.022222222,0.028571429,-0.017453293,1,45,35
0.022222222,0.025,-0.017453293,1,45,40
0.022222222,0.022222222,-0.017453293,1,45,45
5,5,-0.087266463,5,1,1
5,1,-0.087266463,5,1,5
5,0.5,-0.087266463,5,1,10
5,0.333333333,-0.087266463,5,1,15
5,0.25,-0.087266463,5,1,20
5,0.2,-0.087266463,5,1,25
5,0.166666667,-0.087266463,5,1,30
5,0.142857143,-0.087266463,5,1,35
5,0.125,-0.087266463,5,1,40
5,0.111111111,-0.087266463,5,1,45
1,5,-0.087266463,5,5,1
1,1,-0.087266463,5,5,5
1,0.5,-0.087266463,5,5,10
1,0.333333333,-0.087266463,5,5,15
1,0.25,-0.087266463,5,5,20
1,0.2,-0.087266463,5,5,25
1,0.166666667,-0.087266463,5,5,30
1,0.142857143,-0.087266463,5,5,35
1,0.125,-0.087266463,5,5,40
1,0.111111111,-0.087266463,5,5,45
0.5,5,-0.087266463,5,10,1
0.5,1,-0.087266463,5,10,5
0.5,0.5,-0.087266463,5,10,10
0.5,0.333333333,-0.087266463,5,10,15
0.5,0.25,-0.087266463,5,10,20
0.5,0.2,-0.087266463,5,10,25
0.5,0.166666667,-0.087266463,5,10,30
0.5,0.142857143,-0.087266463,5,10,35
0.5,0.125,-0.087266463,5,10,40
0.5,0.111111111,-0.087266463,5,10,45
0.333333333,5,-0.087266463,5,15,1
0.333333333,1,-0.087266463,5,15,5
0.333333333,0.5,-0.087266463,5,15,10
0.333333333,0.333333333,-0.087266463,5,15,15
0.333333333,0.25,-0.087266463,5,15,20
0.333333333,0.2,-0.087266463,5,15,25
0.333333333,0.166666667,-0.087266463,5,15,30
0.333333333,0.142857143,-0.087266463,5,15,35
0.333333333,0.125,-0.087266463,5,15,40
0.333333333,0.111111111,-0.087266463,5,15,45
0.25,5,-0.087266463,5,20,1
0.25,1,-0.087266463,5,20,5
0.25,0.5,-0.087266463,5,20,10
0.25,0.333333333,-0.087266463,5,20,15
0.25,0.25,-0.087266463,5,20,20
0.25,0.2,-0.087266463,5,20,25
0.25,0.166666667,-0.087266463,5,20,30
0.25,0.142857143,-0.087266463,5,20,35
0.25,0.125,-0.087266463,5,20,40
0.25,0.111111111,-0.087266463,5,20,45
0.2,5,-0.087266463,5,25,1
0.2,1,-0.087266463,5,25,5
0.2,0.5,-0.087266463,5,25,10
0.2,0.333333333,-0.087266463,5,25,15
0.2,0.25,-0.087266463,5,25,20
0.2,0.2,-0.087266463,5,25,25
0.2,0.166666667,-0.087266463,5,25,30
0.2,0.142857143,-0.087266463,5,25,35
0.2,0.125,-0.087266463,5,25,40
0.2,0.111111111,-0.087266463,5,25,45
0.166666667,5,-0.087266463,5,30,1
0.166666667,1,-0.087266463,5,30,5
0.166666667,0.5,-0.087266463,5,30,10
0.166666667,0.333333333,-0.087266463,5,30,15
0.166666667,0.25,-0.087266463,5,30,20
0.166666667,0.2,-0.087266463,5,30,25
0.166666667,0.166666667,-0.087266463,5,30,30
0.166666667,0.142857143,-0.087266463,5,30,35
0.166666667,0.125,-0.087266463,5,30,40
0.166666667,0.111111111,-0.087266463,5,30,45
0.142857143,5,-0.087266463,5,35,1
0.142857143,1,-0.087266463,5,35,5
0.142857143,0.5,-0.087266463,5,35,10
0.142857143,0.333333333,-0.087266463,5,35,15
0.142857143,0.25,-0.087266463,5,35,20
0.142857143,0.2,-0.087266463,5,35,25
0.142857143,0.166666667,-0.087266463,5,35,30
0.142857143,0.142857143,-0.087266463,5,35,35
0.142857143,0.125,-0.087266463,5,35,40
0.142857143,0.111111111,-0.087266463,5,35,45
0.125,5,-0.087266463,5,40,1
0.125,1,-0.087266463,5,40,5
0.125,0.5,-0.087266463,5,40,10
0.125,0.333333333,-0.087266463,5,40,15
0.125,0.25,-0.087266463,5,40,20
0.125,0.2,-0.087266463,5,40,25
0.125,0.166666667,-0.087266463,5,40,30
0.125,0.142857143,-0.087266463,5,40,35
0.125,0.125,-0.087266463,5,40,40
0.125,0.111111111,-0.087266463,5,40,45
0.111111111,5,-0.087266463,5,45,1
0.111111111,1,-0.087266463,5,45,5
0.111111111,0.5,-0.087266463,5,45,10
0.111111111,0.333333333,-0.087266463,5,45,15
0.111111111,0.25,-0.087266463,5,45,20
0.111111111,0.2,-0.087266463,5,45,25
0.111111111,0.166666667,-0.087266463,5,45,30
0.111111111,0.142857143,-0.087266463,5,45,35
0.111111111,0.125,-0.087266463,5,45,40
0.111111111,0.111111111,-0.087266463,5,45,45
